Version	N	Iteracion	Tiempo	Tiempo/Iteracion
Sin-Optimizar	10	10000	0.021445	0.000002
Optimizada	10	10000	0.022220	0.000002
Sin-Optimizar	25	10000	0.120674	0.000012
Optimizada	25	10000	0.111583	0.000011
Sin-Optimizar	50	10000	0.459479	0.000046
Optimizada	50	10000	0.458041	0.000046
Sin-Optimizar	75	10000	1.026675	0.000103
Optimizada	75	10000	1.016849	0.000102
Sin-Optimizar	100	10000	1.815717	0.000182
Optimizada	100	10000	1.810937	0.000181
Sin-Optimizar	125	10000	2.842180	0.000284
Optimizada	125	10000	2.821983	0.000282
Sin-Optimizar	150	10000	4.085200	0.000409
Optimizada	150	10000	4.095169	0.000410
Sin-Optimizar	175	10000	5.556112	0.000556
Optimizada	175	10000	5.568265	0.000557
Sin-Optimizar	200	10000	7.370169	0.000737
Optimizada	200	10000	7.283207	0.000728
Sin-Optimizar	225	10000	8.955476	0.000896
Optimizada	225	10000	8.843485	0.000884
Sin-Optimizar	250	10000	11.023061	0.001102
Optimizada	250	10000	10.961452	0.001096
Sin-Optimizar	275	10000	13.506602	0.001351
Optimizada	275	10000	13.398163	0.001340
Sin-Optimizar	300	10000	15.708051	0.001571
Optimizada	300	10000	15.822946	0.001582
Sin-Optimizar	325	10000	18.568496	0.001857
Optimizada	325	10000	18.522678	0.001852
Sin-Optimizar	350	10000	21.556436	0.002156
Optimizada	350	10000	21.618096	0.002162
Sin-Optimizar	375	10000	24.674427	0.002467
Optimizada	375	10000	25.662045	0.002566
Sin-Optimizar	400	10000	29.225760	0.002923
Optimizada	400	10000	29.328157	0.002933
Sin-Optimizar	425	10000	32.010509	0.003201
Optimizada	425	10000	32.366203	0.003237
Sin-Optimizar	450	10000	35.767682	0.003577
Optimizada	450	10000	36.579826	0.003658
Sin-Optimizar	475	10000	40.973897	0.004097
Optimizada	475	10000	41.275899	0.004128
Sin-Optimizar	500	10000	45.416882	0.004542
Optimizada	500	10000	45.617203	0.004562
Sin-Optimizar	511	10000	47.425653	0.004743
Optimizada	511	10000	47.722593	0.004772
